__EMPTY,__EMPTY_1,emrollment month2,Emrollment Month,,__EMPTY_2,__EMPTY_3,__EMPTY_4,__EMPTY_5,__EMPTY_6,__EMPTY_7,__EMPTY_8,__EMPTY_9,__EMPTY_10,__EMPTY_11,__EMPTY_12,__EMPTY_13,__EMPTY_14,__EMPTY_15,__EMPTY_16,__EMPTY_17,__EMPTY_18,__EMPTY_19,__EMPTY_20,__EMPTY_21,__EMPTY_22,__EMPTY_23,__EMPTY_24,__EMPTY_25,__EMPTY_26,__EMPTY_27,__EMPTY_28,__EMPTY_29,__EMPTY_30,__EMPTY_31,__EMPTY_32,__EMPTY_33,__EMPTY_34,__EMPTY_35,__EMPTY_36,__EMPTY_37,__EMPTY_38,__EMPTY_39,__EMPTY_40,__EMPTY_41,__EMPTY_42,__EMPTY_43,__EMPTY_44,__EMPTY_45,__EMPTY_46,__EMPTY_47,__EMPTY_48,__EMPTY_49,__EMPTY_50,__EMPTY_51,__EMPTY_52,__EMPTY_53,__EMPTY_54,__EMPTY_55,__EMPTY_56,__EMPTY_57,__EMPTY_58,__EMPTY_59,__EMPTY_60,__EMPTY_61,__EMPTY_62,__EMPTY_63,__EMPTY_64,__EMPTY_65,__EMPTY_66,__EMPTY_67,__EMPTY_68,__EMPTY_69,__EMPTY_70,bucket
,,2025,,,,,,,,,,,,,,,,,,2025 Enrollments,2025 Revenue,2026,,,,,,,,,,,,2026 Enrollments,2026 Revenue,Total Enrollments,Total Revenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pivot Table 2
,,April 2025,,August 2025,,December 2025,,July 2025,,June 2025,,May 2025,,November 2025,,October 2025,,September 2025,,,,April 2026,,February 2026,,January 2026,,June 2026,,March 2026,,May 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pivot Table 2
last course2,Last Course,Enrollments,Revenue,Enrollments,Revenue,Enrollments,Revenue,Enrollments,Revenue,Enrollments,Revenue,Enrollments,Revenue,Enrollments,Revenue,Enrollments,Revenue,Enrollments,Revenue,,,Enrollments,Revenue,Enrollments,Revenue,Enrollments,Revenue,Enrollments,Revenue,Enrollments,Revenue,Enrollments,Revenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pivot Table 2
Foundation,,9,213000,21,441000,15,333000,37,792000,39,909000,27,612000,10,231000,13,285000,12,270000,183,4086000,21,504000,21,465000,10,231000,6,117000,29,669000,29,645000,116,2631000,299,6717000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pivot Table 2
FRC paraducks,,,,,,1,300000,1,300000,1,300000,1,80000,7,780000,3,680000,3,624000,17,3064000,5,120000,1,300000,1,300000,,,,,2,324000,9,1044000,26,4108000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pivot Table 2
FRC Schools,,,,2,48000,5,1224000,8,468000,1,24000,,,13,312000,1,300000,,,30,2376000,,,2,324000,,,,,,,,,2,324000,32,2700000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pivot Table 2
FTC Paraducks,,,,2,240000,,,,,2,240000,3,360000,,,,,2,240000,9,1080000,1,135000,,,,,,,1,135000,1,135000,3,405000,12,1485000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pivot Table 2
FTC Schools,,2,200000,3,300000,,,47,4016000,2,124000,3,300000,,,,,1,100000,58,5040000,,,,,,,,,,,,,,,58,5040000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pivot Table 2
MIT,,2,1200000,4,2400000,1,600000,2,1200000,,,7,4200000,4,2400000,4,2400000,4,2400000,28,16800000,,,1,600000,1,600000,1,600000,,,44,26400000,47,28200000,75,45000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pivot Table 2
NI,,,,14,1305000,9,1170000,9,1000000,7,435000,6,840000,4,385000,5,305000,10,1045000,64,6485000,10,1200000,3,240000,3,420000,2,240000,5,630000,13,1650000,36,4380000,100,10865000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pivot Table 2
VEX IQ,,2,250000,4,500000,,,4,500000,3,375000,9,1125000,,,2,250000,2,250000,26,3250000,,,,,,,,,,,4,500000,4,500000,30,3750000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pivot Table 2
WRO,,1,45000,4,165000,1,56250,11,386250,2,45000,5,325000,1,56250,5,247500,4,191250,34,1517500,1,56250,3,135000,2,90000,,,3,135000,,,9,416250,43,1933750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pivot Table 2
Grand Total,,16,1908000,54,5399000,32,3683250,119,8662250,57,2452000,61,7842000,39,4164250,33,4467500,38,5120250,449,43698500,38,2015250,31,2064000,17,1641000,9,957000,38,1569000,93,29654000,226,37900250,675,81598750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pivot Table 2